0,0,0,0
0.1,0,2.5864e-08,0.0049953
0.2,0,1.4531e-07,0.0046951
0.3,0,3.3388e-07,0.0042502
0.4,0,5.5772e-07,0.003846
0.5,0,7.9376e-07,0.0034805
0.6,0,1.0246e-06,0.0031495
0.7,0,1.2382e-06,0.0028498
0.8,0,1.4287e-06,0.0025786
0.9,0,1.5936e-06,0.0023332
1,0,1.7314e-06,0.0021112
1.1,0,1.8435e-06,0.0019105
1.2,0,1.9318e-06,0.0017292
1.3,0,1.9953e-06,0.001565
1.4,0,2.0381e-06,0.0014166
1.5,0,2.0618e-06,0.0012824
1.6,0,2.0675e-06,0.0011604
1.7,0,2.0596e-06,0.0010505
1.8,0,2.0395e-06,0.00095083
1.9,0,2.0092e-06,0.00086038
2,0,1.9706e-06,0.00077879
2.1,0,1.9262e-06,0.00070471
2.2,0,1.8765e-06,0.00063772
2.3,0,1.8229e-06,0.00057718
2.4,0,1.7673e-06,0.00052225
2.5,0,1.7103e-06,0.00047505
2.6,0,1.6513e-06,0.00043468
2.7,0,1.5909e-06,0.00040724
2.8,0,1.5312e-06,0.00095121
2.9,0,1.5051e-06,0.014624
3,0,6.7869e-06,0.14126
3.1,0,0.00021122,0.59691
3.2,0,0.0023594,1.2228
3.3,0,0.010558,1.5019
3.4,0,0.026489,1.4492
3.5,0,0.047852,1.3199
3.6,0,0.07175,1.1951
3.7,0,0.096032,1.0813
3.8,0,0.11926,0.97847
3.9,0,0.14051,0.88548
4,0,0.15928,0.80125
4.1,0,0.17533,0.72497
4.2,0,0.18861,0.65595
4.3,0,0.19918,0.59353
4.4,0,0.2072,0.53707
4.5,0,0.21289,0.48598
4.6,0,0.21648,0.43974
4.7,0,0.21822,0.39791
4.8,0,0.21836,0.36009
4.9,0,0.21711,0.32594
5,1.6965e-11,0.21468,0.29521
5.1,0.00019236,0.21128,0.26775
5.2,0.00068168,0.20708,0.2436
5.3,0.0013607,0.20224,0.22301
5.4,0.0021511,0.19691,0.20656
5.5,0.0029986,0.1912,0.19516
5.6,0.0038683,0.18523,0.19002
5.7,0.004743,0.17911,0.19246
5.8,0.0056215,0.17292,0.20356
5.9,0.0065192,0.16676,0.22388
6,0.0074684,0.16071,0.25297
6.1,0.0085189,0.15487,0.28906
6.2,0.009737,0.14932,0.32902
6.3,0.0112,0.14416,0.36881
6.4,0.012985,0.13946,0.40415
6.5,0.015156,0.13529,0.43113
6.6,0.017742,0.13167,0.44719
